Method,Score
A,74.96714153011233
A,68.61735698828815
A,76.47688538100692
A,85.23029856408026
A,67.65846625276664
A,67.6586304305082
A,85.79212815507391
A,77.67434729152909
A,65.30525614065049
A,75.42560043585965
A,65.36582307187538
A,65.34270246429743
A,72.41962271566034
A,50.86719755342202
A,52.75082167486967
A,64.37712470759027
A,59.87168879665576
A,73.14247332595274
A,60.91975924478789
A,55.87696298664709
A,84.65648768921554
A,67.74223699513465
A,70.67528204687923
A,55.75251813786544
A,64.55617275474818
A,71.10922589709867
A,58.490064225776976
A,73.75698018345672
A,63.99361310081195
A,67.08306250206724
A,63.98293387770603
A,88.52278184508938
A,69.86502775262066
A,59.422890710440996
A,78.22544912103189
A,57.791563500289776
A,72.08863595004756
A,50.403298761202244
A,56.71813951101569
A,71.96861235869123
A,77.3846657999541
A,71.7136828118997
A,68.8435171761176
A,66.98896304410711
A,55.214780096325725
A,62.801557916052914
A,65.39361229040213
A,80.57122226218915
A,73.43618289568461
A,52.36959844637266
A,73.24083969394795
A,66.14917719583684
A,63.23077999694041
A,76.11676288840867
A,80.30999522495951
A,79.31280119116198
A,61.607824767773614
A,66.90787624148786
A,73.31263431403563
A,79.75545127122359
A,65.2082576215471
A,68.14341023336183
A,58.93665025993972
A,58.037933759193294
A,78.12525822394198
A,83.56240028570824
A,69.27989878419666
A,80.03532897892023
A,73.61636025047635
A,63.54880245394876
A,73.61395605508415
A,85.38036566465969
A,69.64173960890048
A,85.64643655814007
A,43.80254895910255
A,78.21902504375224
A,70.87047068238171
A,67.00992649534132
A,70.91760776535503
A,50.124310853991076
A,67.80328112162488
A,73.57112571511746
A,84.77894044741517
A,64.81729781726352
A,61.91506397106812
A,64.98242956415463
A,79.15402117702074
A,73.28751109659684
A,64.70239796232961
A,75.13267433113356
A,70.9707754934804
A,79.68644990532889
A,62.979469061226474
A,66.72337853402232
A,66.07891846867842
A,55.364850518678814
A,72.96120277064576
A,72.6105527217989
A,70.05113456642461
A,67.65412866624852
A,55.84629257949586
A,65.79354677234642
A,66.57285483473231
A,61.97722730778381
A,68.3871428833399
A,74.04050856814538
A,88.8618590121053
A,71.74577812831839
A,72.57550390722764
A,69.25554084233833
A,50.812287847009586
A,69.73486124550783
A,70.60230209941027
A,94.63242112485287
A,68.07639035218878
A,73.01547342333612
A,69.65288230294756
A,58.31321962380468
A,81.4282281451502
A,77.51933032686775
A,77.91031947043047
A,60.906125452052606
A,84.02794310936099
A,55.98148937207719
A,75.8685709380027
A,91.90455625809979
A,60.09463674869312
A,64.33702270397228
A,70.99651365087641
A,64.965243458838
A,54.493365689338674
A,70.68562974806028
A,59.37696286273895
A,74.73592430635182
A,60.80575765766197
A,85.4993440501754
A,62.16746707663763
A,66.77938483794324
A,78.1351721736967
A,57.69135683566045
A,72.2745993460413
A,83.07142754282428
A,53.92516765438772
A,71.84633858532304
A,72.59882794248423
A,77.81822871777311
A,57.63049289121918
A,56.795433869157236
A,75.21941565616898
A,72.96984673233186
A,72.50492850345877
A,73.46448209496975
A,63.19975278421509
A,72.32253697161003
A,72.93072473298682
A,62.85648581973632
A,88.65774511144757
A,74.73832920911788
A,58.08696502797351
A,76.5655360863383
A,60.253183297726785
A,77.87084603742451
A,81.58595579007404
A,61.7931768164829
A,79.63376129244321
A,74.12780926936499
A,78.2206015999449
A,88.96792982653947
A,67.5461188399713
A,62.4626383564251
A,61.10485570374477
A,61.841897150345616
A,69.22898290585896
A,73.41151974816644
A,72.7669079933002
A,78.27183249036024
A,70.13001891877907
A,84.53534077157317
A,67.35343166762044
A,97.20169166589619
A,76.25667347765007
A,61.42842443583717
A,59.29107501938888
A,74.82472415243186
A,67.7653721467415
A,77.14000494092092
A,74.73237624573545
A,69.27171087343127
A,61.532062819315954
A,54.851527753141355
A,65.53485047932979
A,78.56398794323472
A,72.14093744130204
A,57.542612212880115
A,71.73180925851182
A,73.85317379728836
A,61.16142563798867
A,71.53725105945527
A,70.58208718446
A,58.57029702169377
B,79.2934483241794
B,81.72941431641881
B,87.99661491810332
B,87.64562462441884
B,58.46796758451491
B,63.74609952101853
B,81.18042320650392
B,81.16543141094651
B,81.18057223567257
B,121.23277788785666
B,81.850686128318
B,88.62678768216719
B,86.44802116191843
B,82.81669501566958
B,71.21676906431586
B,84.10763064591922
B,65.72609742554914
B,72.1581767191199
B,69.17563742605076
B,75.98248967263586
B,102.77590280008211
B,52.592817688899025
B,83.23512228449417
B,55.64740954572418
B,69.3368176105268
B,88.0674071636084
B,75.77136022914556
B,62.06706266484832
B,66.41635548888038
B,83.1551729872161
B,66.23560041939436
B,77.59750307498369
B,75.54686207884576
B,67.1807958287302
B,100.72732907190391
B,82.60702826781613
B,50.69828896010871
B,77.23745177723313
B,67.05856242277935
B,85.22920001755469
B,65.48975113880759
B,73.62316270239721
B,81.05984734776548
B,85.38906233004145
B,60.596443115330686
B,70.98598516990862
B,69.30065626606853
B,67.16004920911546
B,96.18545088337316
B,79.85978053153147
B,59.86939254797946
